,Date,Manner of Death,Armed,Age,Gender,Race,City,State,Signs of Mental Illness,Threat Level,Flee,Body Camera,Longitude,Latitude,Is Geocoding Exact
170,2015-03-08,Shot,,35.0,Male,"White, non-Hispanic",Claymont,Delaware,False,Attack,Car,False,-75.456,39.818000000000005,True
171,2015-03-09,Shot,Unarmed,27.0,Male,"Black, non-Hispanic",Atlanta,Georgia,True,Other,Not fleeing,False,-84.26700000000001,33.88,True
172,2015-03-09,Shot,Gun,58.0,Male,"White, non-Hispanic",Brevard,North Carolina,False,Attack,Not fleeing,False,-82.626,35.269,True
173,2015-03-09,Shot,Gun,46.0,Male,"White, non-Hispanic",Dinosaur,Colorado,False,Attack,Not fleeing,False,-109.01,40.246,True
174,2015-03-09,Shot,Gun,30.0,Male,"Black, non-Hispanic",Cocoa,Florida,False,Attack,Not fleeing,False,-80.749,28.351,True
175,2015-03-10,Shot,Gun,64.0,Male,"Black, non-Hispanic",Cleveland,Ohio,False,Attack,Not fleeing,True,-81.641,41.45,True
176,2015-03-10,Shot,Gun,31.0,Male,"Black, non-Hispanic",Baton Rouge,Louisiana,False,Attack,Not fleeing,False,-91.169,30.535999999999998,True
177,2015-03-10,Shot,Knife,23.0,Male,"White, non-Hispanic",Port Wentworth,Georgia,False,Attack,Not fleeing,True,-81.184,32.165,True
178,2015-03-10,Shot,Sword,37.0,Male,Hispanic,Ontario,California,True,Other,Car,False,-117.655,34.05,True
179,2015-03-11,Shot,,37.0,Male,"Black, non-Hispanic",Elkton,Maryland,False,Other,Not fleeing,False,-75.816,39.573,True
180,2015-03-11,Shot,Gun,31.0,Male,"White, non-Hispanic",Memphis,Tennessee,True,Attack,Not fleeing,False,-90.0,35.158,True
181,2015-03-11,Shot,Gun,39.0,Male,Hispanic,Santa Ana,California,False,Attack,Not fleeing,False,-117.868,33.743,True
182,2015-03-11,Shot,Toy Weapon,31.0,Male,"White, non-Hispanic",Kingman,Arizona,True,Attack,Not fleeing,False,-114.02600000000001,35.204,True
183,2015-03-11,Shot,Gun,54.0,Male,"White, non-Hispanic",Bay Minette,Alabama,False,Attack,Not fleeing,False,-87.891,30.862,True
184,2015-03-11,Shot,Gun,53.0,Male,"White, non-Hispanic",Hoover,Alabama,True,Attack,Not fleeing,False,-86.84899999999999,33.417,True
185,2015-03-11,Shot,,25.0,Male,Hispanic,Los Angeles,California,False,Other,Not fleeing,False,-118.22,33.939,True
186,2015-03-12,Shot,Unarmed,35.0,Male,"Black, non-Hispanic",Washington,District of Columbia,True,Other,Not fleeing,False,-76.983,38.882,True
187,2015-03-13,Shot,Gun,41.0,Male,Hispanic,Napa,California,False,Other,Other,False,-122.274,38.306,True
188,2015-03-13,Shot,Gun,59.0,Male,"White, non-Hispanic",Kansas City,Missouri,False,Attack,Not fleeing,False,-94.48700000000001,38.946999999999996,True
